identifier	minutes	group
c_C0002	516.433333333333	01-controls_101bp
b_H043-PLM1	516.116666666667	03-controls_151bp_X10
r_XI003_10023	516.1	04-tumors_151bp_X10
t_ICGC_0099	516.05	02-tumors_101bp
t_OCCAMS-QE-095	515.766666666667	02-tumors_101bp
t_ICGC_0048	515.666666666667	02-tumors_101bp
t_TCGA-BJ-A45K	515.066666666667	02-tumors_101bp
t_XI003_20078	514.633333333333	04-tumors_151bp_X10
t_ICGC_0417	513.633333333333	02-tumors_101bp
t_OCCAMS-ZZ-011	512.966666666667	02-tumors_101bp
b_H021-K5991L	512.85	03-controls_151bp_X10
b_H021-B9JGVS	512.4	03-controls_151bp_X10
t_XI049_7EP31	512.35	04-tumors_151bp_X10
b_H043-DSX2	512.166666666667	03-controls_151bp_X10
t_A050-GXBF	511.983333333333	04-tumors_151bp_X10
t_C0004	511.9	02-tumors_101bp
b_H021-PF81SF	511.9	03-controls_151bp_X10
b_H021-PMJNX8	510.216666666667	03-controls_151bp_X10
t_B087wgs_23103	509.666666666667	02-tumors_101bp
t_B087koeln_22496	508.733333333333	02-tumors_101bp
t_A050-LHDE	508.733333333333	04-tumors_151bp_X10
c_H030-D4T0	508.683333333333	03-controls_151bp_X10
t_XI049_11EP25	508.65	04-tumors_151bp_X10
t_XI049_7EP16	507.916666666667	04-tumors_151bp_X10
t_CPCG0190	507.516666666667	02-tumors_101bp
t_XI049_7EP6-	506.866666666667	04-tumors_151bp_X10
t_PCSI_0311	506.55	02-tumors_101bp
t_ITNET-0144	506.5	02-tumors_101bp
t_ICGC_0438	506.116666666667	02-tumors_101bp
b_H021-JJ3WAR	506	03-controls_151bp_X10
t_ICGC_0139	505.75	02-tumors_101bp
b_H043-D9MRCY	504.616666666667	03-controls_151bp_X10
b_A033-P2ZRLK	503.2	03-controls_151bp_X10
t_PCSI_0305	502.716666666667	02-tumors_101bp
b_DKFZ-Mrad_19	502.316666666667	03-controls_151bp_X10
b_H043-3P8XJY	502.2	03-controls_151bp_X10
c_XI003_231	502.15	03-controls_151bp_X10
t_TCGA-DJ-A13L	501.75	02-tumors_101bp
t_DKFZ-Mrad_7	501.5	04-tumors_151bp_X10
t_TCGA-HU-8608	501.383333333333	02-tumors_101bp
c_XI003_18533	501.233333333333	03-controls_151bp_X10
t_TCGA-EM-A2CP	501.133333333333	02-tumors_101bp
t_TCGA-E8-A416	500.833333333333	02-tumors_101bp
t_XI049_7EP10	500.833333333333	04-tumors_151bp_X10
t_ICGC_0037	500.666666666667	02-tumors_101bp
p_XI003_STA-NB-3	500.666666666667	04-tumors_151bp_X10
c_H030-A87Q	500.066666666667	03-controls_151bp_X10
t_ITNET-0107	499.9	02-tumors_101bp
t_B087wgs_13947	499.766666666667	02-tumors_101bp
t_XI061_7EP4	499.683333333333	04-tumors_151bp_X10
t_HX10	499.583333333333	02-tumors_101bp
t_MELA-0053	499.483333333333	02-tumors_101bp
b_H043-F14UH1	499.366666666667	03-controls_151bp_X10
b_H043-CWJQEW	499.35	03-controls_151bp_X10
c_XI003_17871	499.316666666667	03-controls_151bp_X10
t_H067-SFQ72G	499.233333333333	04-tumors_151bp_X10
t_OCCAMS-RS-035	499.033333333333	02-tumors_101bp
t_MELA-0168	498.916666666667	02-tumors_101bp
b_H021-77DLK4	498.716666666667	03-controls_151bp_X10
t_TCGA-BR-8690	498.366666666667	02-tumors_101bp
t_TCGA-DD-A4NE	498.35	02-tumors_101bp
b_H021-TKDN9D	498.316666666667	03-controls_151bp_X10
c_ICGC_MB305	498.083333333333	01-controls_101bp
c_XI003_22836	497.633333333333	03-controls_151bp_X10
t_ICGC_0215	497.15	02-tumors_101bp
c_H030-EMGX	497.066666666667	03-controls_151bp_X10
c_H030-EMGX	497.066666666667	03-controls_151bp_X10
t_TCGA-75-6203	496.933333333333	02-tumors_101bp
t_CPCG0258	496.583333333333	02-tumors_101bp
t_TCGA-PD-A5DF	496.3	02-tumors_101bp
t_TCGA-EM-A3FL	496.166666666667	02-tumors_101bp
t_TCGA-66-2793	496.033333333333	02-tumors_101bp
b_H021-36H8XH	495.9	03-controls_151bp_X10
t_H050-SLYN	495.6	02-tumors_101bp
b_H021-E54T3F	495.6	03-controls_151bp_X10
c_K08K-CSU6UB	495.566666666667	03-controls_151bp_X10
t_CPCG0260	494.8	02-tumors_101bp
c_ICGC_GBM11	494.383333333333	01-controls_101bp
t_ICGC_0449	494.116666666667	02-tumors_101bp
b_H021-92XTB6	493.983333333333	03-controls_151bp_X10
t_XI003_14312	493.616666666667	04-tumors_151bp_X10
t_ICGC_0192	493.5	02-tumors_101bp
t_H067-37HWC4	493.216666666667	04-tumors_151bp_X10
t_HX13	493.15	02-tumors_101bp
c_B087koeln_20865	492.766666666667	01-controls_101bp
t_XI003_21533	492.233333333333	04-tumors_151bp_X10
c_TCGA-78-7143	492.2	01-controls_101bp
b_H021-8AAMZH	492.016666666667	03-controls_151bp_X10
t_ICGC_0522	491.7	02-tumors_101bp
b_H021-NGLL19	491.316666666667	03-controls_151bp_X10
t_OCCAMS-AH-063	491.166666666667	02-tumors_101bp
b_H021-QLJDYA	491.15	03-controls_151bp_X10
t_TCGA-KL-8332	490.566666666667	02-tumors_101bp
b_H021-SSBE3A	490.366666666667	03-controls_151bp_X10
b_H021-P7EW6X	490.25	03-controls_151bp_X10
b_H021-P7EW6X	490.25	03-controls_151bp_X10
c_XI003_23298	489.783333333333	03-controls_151bp_X10
t_XI003_21976	489.083333333333	04-tumors_151bp_X10
t_TCGA-06-0145	488.95	02-tumors_101bp
b_H021-85D55Z	488.9	03-controls_151bp_X10
b_H021-T62214	488.75	03-controls_151bp_X10
t_ICGC_0507	488.55	02-tumors_101bp
c_H021-E94FYJ	488.55	03-controls_151bp_X10
t_TCGA-ET-A4KN	488.4	02-tumors_101bp
t_XI003_26285	488	04-tumors_151bp_X10
c_EOPC-04	487.833333333333	01-controls_101bp
t_XI049_11EP18	487.4	04-tumors_151bp_X10
b_H021-N5YRV7	487.233333333333	03-controls_151bp_X10
b_H021-PLH861	487.233333333333	03-controls_151bp_X10
b_A033-356A7U	486.8	03-controls_151bp_X10
c_C0012	486.733333333333	01-controls_101bp
