#chromosomeIndex	startPos	endPos	tadIndex
2	80160000	81880000	374
2	81440000	83560000	375
2	83480000	84720000	376
2	84650000	85190000	377
2	85120000	85850000	378
2	85800000	86440000	379
2	86385000	88200000	380
2	88080000	89640000	381
2	89585000	90360000	382
2	90280000	91760000	383
2	91680000	92400000	384
2	92320000	93300000	385
2	93300000	95360000	386
2	95285000	96480000	387
2	96400000	97200000	388
2	97160000	97880000	389
2	97800000	99240000	390
2	99160000	100160000	391
2	100080000	101200000	392
2	101135000	101680000	393
2	101600000	102540000	394
2	102480000	103440000	395
2	103385000	104600000	396
2	104520000	105960000	397
2	105880000	106175000	398
2	106135000	107200000	399
2	107160000	109440000	400
2	109360000	110165000	401
2	110120000	110600000	402
2	110520000	112615000	403
2	112560000	113880000	404
2	113800000	114240000	405
2	114200000	114760000	406
2	114710000	115390000	407
2	115320000	115960000	408
2	115900000	117240000	409
2	117040000	118575000	410
2	118520000	120120000	411
2	120040000	121075000	412
2	120960000	121450000	413
2	121400000	122160000	414
2	122085000	122565000	415
2	122520000	124800000	416
2	124720000	125600000	417
2	125520000	126480000	418
2	126400000	126990000	419
2	126910000	127840000	420
2	127800000	128520000	421
2	128280000	131240000	422
2	131160000	132940000	423
2	132880000	133960000	424
2	133910000	134680000	425
2	134600000	135720000	426
2	135675000	136625000	427
2	136560000	137160000	428
2	137120000	137625000	429
2	137575000	138600000	430
2	138560000	139640000	431
2	139600000	140550000	432
2	140440000	141000000	433
2	140800000	141720000	434
2	141640000	142960000	435
2	142900000	143440000	436
2	143400000	143800000	437
2	143760000	145240000	438
2	145120000	147480000	439
2	147435000	148680000	440
2	148640000	149360000	441
2	149280000	149890000	442
2	149840000	150450000	443
2	150400000	152300000	444
2	152240000	152915000	445
2	152840000	153600000	446
2	153560000	154480000	447
2	154400000	155280000	448
2	155200000	156240000	449
2	156200000	158165000	450
2	158120000	158920000	451
2	158875000	159720000	452
2	159680000	160900000	453
2	160840000	162080000	454
2	162000000	163240000	455
2	163160000	165560000	456
2	165480000	165865000	457
2	165800000	167360000	458
2	167280000	169080000	459
2	169000000	169880000	460
2	169800000	170775000	461
2	170640000	171800000	462
2	171760000	172400000	463
2	172360000	173040000	464
2	173000000	173640000	465
2	173600000	174225000	466
2	174120000	175340000	467
2	175280000	176000000	468
2	175880000	176975000	469
2	176920000	177640000	470
2	177520000	178065000	471
2	178000000	178960000	472
2	178880000	179400000	473
2	179320000	180280000	474
2	180240000	180720000	475
2	180640000	181960000	476
2	181910000	182615000	477
2	182560000	183040000	478
2	183000000	183600000	479
2	183560000	184080000	480
2	184000000	185560000	481
2	185440000	186160000	482
2	186080000	187720000	483
2	187640000	188360000	484
2	188320000	189440000	485
2	189375000	189960000	486
2	189910000	190560000	487
2	190480000	191175000	488
2	191110000	191940000	489
2	191880000	192440000	490
2	192400000	193120000	491
2	193040000	194565000	492
2	194480000	195320000	493
2	195240000	195800000	494
2	195720000	196240000	495
2	196160000	196960000	496
2	196920000	197650000	497
2	197600000	198640000	498
2	198560000	199175000	499
2	199120000	200800000	500
2	200760000	201760000	501
2	201685000	202100000	502
2	202050000	202640000	503
2	202550000	203400000	504
2	203320000	204200000	505
2	204080000	204800000	506
2	204760000	206920000	507
2	206840000	208600000	508
2	208520000	209200000	509
2	209160000	210200000	510
2	210125000	210880000	511
2	210800000	211160000	512
2	211080000	212025000	513
2	211920000	212615000	514
2	212535000	213520000	515
2	213480000	214100000	516
2	214040000	214760000	517
2	214640000	216215000	518
2	216160000	217000000	519
2	216935000	217400000	520
2	217320000	218650000	521
2	218610000	219120000	522
2	219040000	219880000	523
2	219810000	220480000	524
2	220400000	222890000	525
2	222840000	223520000	526
2	223480000	223800000	527
2	223760000	224840000	528
2	224785000	225200000	529
2	225160000	225640000	530
2	225560000	226525000	531
2	226480000	228240000	532
2	228160000	228750000	533
2	228680000	229550000	534
2	229480000	230640000	535
2	230600000	231920000	536
2	231800000	232475000	537
2	232360000	233400000	538
2	233360000	234800000	539
2	234710000	235450000	540
2	235400000	236065000	541
2	236000000	236715000	542
2	236640000	237150000	543
2	237080000	238040000	544
2	238000000	238720000	545
2	238640000	239225000	546
2	239160000	239940000	547
2	239840000	241150000	548
2	241080000	241520000	549
2	241450000	241800000	550
2	241735000	243199373	551
2	243159373	243199373	552
3	1	90000	553
3	40000	425000	554
3	385000	2160000	555
3	2120000	3200000	556
3	3160000	4160000	557
3	4080000	4360000	558
3	4320000	4715000	559
3	4640000	5290000	560
3	5240000	6960000	561
3	6880000	8480000	562
3	8435000	9000000	563
3	8920000	9440000	564
3	9360000	10375000	565
3	10320000	11400000	566
3	11160000	11960000	567
3	11880000	12920000	568
3	12840000	13565000	569
3	13480000	14720000	570
3	14650000	15160000	571
3	15120000	15625000	572
3	15520000	16325000	573
3	16280000	17320000	574
3	17240000	17960000	575
3	17885000	18540000	576
3	18480000	19080000	577
3	19035000	19960000	578
3	19880000	21040000	579
3	21000000	22240000	580
3	22160000	23040000	581
3	22960000	24000000	582
3	23960000	24440000	583
3	24320000	24765000	584
3	24720000	25715000	585
3	25640000	27200000	586
3	27120000	27760000	587
3	27710000	28440000	588
3	28400000	30080000	589
3	30010000	30840000	590
3	30800000	32790000	591
3	32680000	33480000	592
3	33400000	33920000	593
3	33880000	36040000	594
3	35960000	37000000	595
3	36920000	37325000	596
3	37280000	38080000	597
3	38000000	38565000	598
3	38510000	39120000	599
3	39060000	39480000	600
3	39440000	40280000	601
3	40200000	41960000	602
3	41885000	42280000	603
3	42235000	42680000	604
3	42600000	43575000	605
3	43520000	44400000	606
3	44320000	45040000	607
3	45000000	45725000	608
3	45510000	46960000	609
3	46840000	47465000	610
3	47400000	47880000	611
3	47835000	48240000	612
3	48200000	49160000	613
3	49025000	49760000	614
3	49680000	50400000	615
3	50360000	51465000	616
3	51385000	52000000	617
3	51960000	53160000	618
3	53080000	53960000	619
3	53910000	54825000	620
3	54680000	55520000	621
3	55460000	56600000	622
3	56560000	57115000	623
3	57035000	57560000	624
3	57510000	58560000	625
3	58480000	59560000	626
3	59510000	59920000	627
3	59840000	60560000	628
3	60400000	61440000	629
3	61360000	62600000	630
3	62520000	63290000	631
3	63240000	63880000	632
3	63840000	64500000	633
3	64440000	65440000	634
3	65385000	65760000	635
3	65710000	66320000	636
3	66280000	66965000	637
3	66920000	67840000	638
3	67800000	69040000	639
3	69000000	69725000	640
3	69685000	70080000	641
3	70035000	70520000	642
3	70440000	71000000	643
3	70960000	71760000	644
3	71720000	73160000	645
3	73120000	73960000	646
3	73885000	75720000	647
3	75640000	76760000	648
3	76640000	77365000	649
3	77320000	78720000	650
3	78660000	79120000	651
3	79080000	79575000	652
3	79520000	81350000	653
3	81240000	82680000	654
3	82240000	83240000	655
3	83160000	83680000	656
3	83600000	85720000	657
3	85640000	86760000	658
3	86700000	87315000	659
3	87210000	88240000	660
3	88200000	88680000	661
3	88560000	89160000	662
3	89000000	90560000	663
3	90520000	91000000	664
3	91000000	93520000	665
3	93480000	95360000	666
3	95160000	96080000	667
3	96000000	96590000	668
3	96520000	97480000	669
3	97435000	97800000	670
3	97720000	98565000	671
3	98485000	99520000	672
3	99480000	100025000	673
3	99960000	100520000	674
3	100440000	101440000	675
3	101400000	101990000	676
3	101920000	102350000	677
3	102280000	103880000	678
3	103760000	105290000	679
3	105240000	106920000	680
3	106880000	107280000	681
3	107210000	107625000	682
3	107520000	108400000	683
3	108320000	110120000	684
3	110000000	111360000	685
3	111280000	111800000	686
3	111760000	112315000	687
3	112240000	112765000	688
3	112720000	113840000	689
3	113760000	114925000	690
3	114880000	115600000	691
3	115560000	116480000	692
3	116435000	117320000	693
3	117240000	117775000	694
3	117640000	118880000	695
3	118800000	119520000	696
3	119440000	120280000	697
3	120200000	120640000	698
3	120560000	121240000	699
3	121200000	122140000	700
3	122080000	123320000	701
3	123260000	124450000	702
3	124400000	125520000	703
3	125440000	126240000	704
3	126160000	127320000	705
3	127275000	127815000	706
3	127760000	128640000	707
3	128560000	129120000	708
3	129040000	129840000	709
3	129800000	130725000	710
3	130625000	132440000	711
3	132375000	133160000	712
3	133110000	133525000	713
3	133360000	134280000	714
3	134240000	135800000	715
3	135735000	136800000	716
3	136760000	137880000	717
3	137800000	138760000	718
3	138680000	139115000	719
3	139040000	140665000	720
3	140600000	141000000	721
3	140950000	142080000	722
3	142000000	142765000	723
3	142720000	143500000	724
3	143440000	144560000	725
3	144480000	145765000	726
3	145640000	146400000	727
3	146335000	147015000	728
3	146960000	147920000	729
3	147840000	148680000	730
3	148640000	149050000	731
3	149000000	149600000	732
3	149550000	149965000	733
3	149920000	150320000	734
3	150240000	150920000	735
3	150875000	151700000	736
3	151640000	152720000	737
3	152640000	154040000	738
3	154000000	155080000	739
3	155040000	155640000	740
3	155560000	156280000	741
3	156210000	157240000	742
3	157160000	158560000	743
3	158485000	159040000	744
3	158975000	159720000	745
3	159550000	160240000	746
3	160160000	161200000	747
3	161160000	162840000	748
3	162760000	163520000	749
3	163400000	164965000	750
3	164920000	165575000	751
3	165480000	167120000	752
3	167040000	167680000	753
3	167600000	168615000	754
3	168560000	169560000	755
3	169480000	170600000	756
3	170560000	171360000	757
3	171310000	172520000	758
3	172475000	173920000	759
3	173760000	174960000	760
3	174840000	176240000	761
3	176160000	178200000	762
3	178125000	178760000	763
3	178700000	179365000	764
3	179320000	180400000	765
3	180320000	181440000	766
3	181375000	182560000	767
3	182440000	183165000	768
3	183120000	183600000	769
3	183560000	184090000	770
3	184040000	184575000	771
3	184520000	185340000	772
3	185280000	186000000	773
3	185935000	186590000	774
3	186520000	187450000	775
3	187400000	188960000	776
3	188920000	189715000	777
3	189640000	190320000	778
3	190120000	191125000	779
3	191085000	192200000	780
3	192160000	192520000	781
3	192480000	193365000	782
3	193320000	194360000	783
3	194310000	195000000	784
3	194960000	195400000	785
3	195360000	196720000	786
3	196660000	196950000	787
3	196910000	198022430	788
3	197982430	198022430	789
4	1	720000	790
4	650000	1040000	791
4	1000000	1400000	792
4	1360000	1760000	793
4	1680000	3080000	794
4	3000000	3560000	795
4	3510000	3975000	796
4	3920000	6680000	797
4	6560000	7120000	798
4	7040000	7750000	799
4	7710000	8240000	800
4	8185000	9400000	801
4	9320000	10560000	802
4	10510000	11800000	803
4	11720000	12725000	804
4	12680000	13640000	805
4	13585000	15520000	806
4	15440000	17525000	807
4	17480000	18650000	808
4	18600000	20760000	809
4	20720000	21800000	810
4	21720000	22400000	811
4	22360000	22840000	812
4	22760000	23760000	813
4	23720000	24490000	814
4	24440000	25440000	815
4	25400000	26490000	816
4	26410000	27090000	817
4	27040000	29120000	818
4	29000000	29480000	819
4	29360000	29880000	820
4	29800000	30680000	821
4	30600000	31280000	822
4	31040000	31800000	823
4	31720000	32440000	824
4	32320000	33120000	825
4	33040000	34280000	826
4	34160000	34920000	827
4	34760000	36320000	828
4	36160000	37465000	829
4	37400000	37800000	830
4	37760000	38080000	831
4	38010000	38920000	832
4	38875000	39480000	833
4	39400000	40040000	834
4	40000000	40365000	835
4	40320000	40800000	836
4	40720000	41280000	837
4	41235000	41680000	838
4	41635000	42000000	839
4	41920000	42960000	840
4	42880000	44750000	841
4	44680000	46325000	842
4	46280000	46850000	843
4	46760000	47680000	844
4	47600000	48140000	845
4	48060000	49680000	846
4	49600000	50400000	847
4	50400000	52680000	848
4	52640000	53890000	849
4	53835000	55200000	850
4	55150000	55850000	851
4	55800000	56240000	852
4	56200000	56800000	853
4	56750000	57360000	854
4	57250000	57890000	855
4	57840000	59400000	856
4	59320000	60050000	857
4	59920000	61160000	858
4	61080000	63675000	859
4	63600000	64320000	860
4	64240000	65560000	861
4	65480000	67080000	862
4	66960000	68320000	863
4	68280000	69115000	864
4	69040000	70200000	865
4	70110000	70565000	866
4	70500000	71440000	867
4	71400000	71960000	868
4	71880000	72680000	869
4	72600000	73925000	870
4	73880000	75065000	871
4	75000000	75665000	872
4	75600000	76840000	873
4	76760000	78840000	874
4	78760000	79525000	875
4	79450000	79880000	876
4	79840000	81280000	877
4	81235000	82320000	878
4	82280000	83300000	879
4	83240000	83790000	880
4	83720000	84415000	881
4	84360000	85960000	882
4	85900000	86680000	883
4	86640000	87400000	884
4	87335000	87840000	885
4	87785000	88240000	886
4	88160000	89160000	887
4	89120000	89490000	888
4	89440000	90080000	889
4	90040000	91240000	890
4	91185000	92040000	891
4	91960000	93400000	892
4	93320000	95160000	893
4	95080000	96080000	894
4	96035000	97360000	895
4	97280000	99040000	896
4	99000000	100000000	897
4	99960000	100480000	898
4	100435000	100920000	899
4	100880000	103325000	900
4	103280000	104100000	901
4	104040000	104920000	902
4	104875000	105920000	903
4	105800000	106480000	904
4	106400000	107175000	905
4	107120000	107920000	906
4	107840000	108880000	907
4	108810000	109560000	908
4	109520000	110360000	909
4	110285000	110920000	910
4	110880000	111500000	911
4	111440000	111940000	912
4	111880000	112590000	913
4	112520000	113000000	914
4	112960000	113600000	915
4	113520000	115340000	916
4	115280000	115715000	917
4	115640000	117080000	918
4	116960000	118040000	919
4	117960000	119560000	920
4	119480000	119900000	921
4	119860000	120440000	922
4	120360000	121000000	923
4	120960000	122720000	924
4	122680000	123240000	925
4	123160000	123915000	926
4	123835000	124640000	927
4	124600000	125240000	928
4	125200000	126240000	929
4	126200000	126760000	930
4	126680000	127525000	931
4	127480000	129000000	932
4	128920000	130080000	933
4	129800000	132040000	934
4	131960000	132600000	935
4	132360000	134000000	936
4	133840000	135480000	937
4	135320000	135920000	938
4	135840000	137960000	939
4	137880000	138680000	940
4	138600000	139000000	941
4	138920000	139920000	942
4	139880000	140475000	943
4	140360000	141840000	944
4	141760000	143040000	945
4	142960000	144120000	946
4	144060000	144520000	947
4	144440000	146040000	948
4	146000000	146600000	949
4	146520000	148080000	950
4	148025000	148840000	951
4	148760000	149520000	952
4	149400000	150250000	953
4	150200000	150880000	954
4	150840000	152000000	955
4	151935000	152600000	956
4	152560000	153360000	957
4	153310000	153760000	958
4	153710000	154080000	959
4	154000000	154720000	960
4	154680000	155480000	961
4	155400000	156320000	962
4	156275000	156760000	963
4	156680000	158160000	964
4	158080000	159600000	965
4	159535000	160440000	966
4	160400000	162160000	967
4	162080000	163400000	968
4	163360000	164025000	969
4	163960000	164480000	970
4	164400000	166025000	971
4	165960000	166425000	972
4	166360000	167080000	973
4	167035000	167640000	974
4	167560000	167915000	975
4	167840000	169080000	976
4	169040000	169920000	977
4	169850000	171040000	978
4	170985000	171840000	979
4	171800000	172760000	980
4	172680000	173160000	981
4	173080000	173880000	982
4	173800000	174360000	983
4	174280000	175280000	984
4	175235000	175640000	985
4	175560000	176680000	986
4	176480000	177300000	987
4	177240000	178080000	988
4	178000000	179440000	989
4	179320000	180680000	990
4	180280000	181640000	991
4	181560000	182475000	992
4	182400000	183315000	993
4	183235000	183880000	994
4	183810000	184360000	995
4	184320000	185160000	996
4	185100000	185640000	997
4	185560000	186080000	998
4	185920000	187165000	999
4	187120000	188520000	1000
4	188440000	190640000	1001
4	190485000	191154276	1002
4	191114276	191154276	1003
5	1	1690000	1004
5	1640000	2760000	1005
5	2710000	3160000	1006
5	3120000	3840000	1007
5	3640000	4840000	1008
5	4800000	5480000	1009
5	5435000	6800000	1010
5	6750000	7200000	1011
5	7080000	7890000	1012
5	7840000	9265000	1013
5	9185000	10265000	1014
5	10200000	10680000	1015
5	10600000	11500000	1016
5	11360000	12160000	1017
