gene	ensembl_id
ANKRD12	101745
ANKRD13A	76513
ANKRD13B	198720
ANKRD13C	118454
ANKRD13D	172932
ANKRD16	134461
ANKRD17	132466
ANKRD18A	180071
ANKRD19P	187984
ANKRD2	165887
ANKRD20A1	260691
ANKRD20A2	183148
ANKRD20A3	276203
ANKRD20A4	172014
ANKRD20A5P	186481
ANKRD20A8P	229089
ANKRD20A9P	282715
ANKRD20A9P	206192
ANKRD22	152766
ANKRD23	163126
ANKRD24	89847
ANKRD26	107890
ANKRD26P1	261239
ANKRD26P3	237636
ANKRD27	105186
ANKRD28	206560
ANKRD29	154065
ANKRD30A	148513
ANKRD30B	180777
ANKRD30BL	163046
ANKRD30BP2	224309
ANKRD31	145700
ANKRD33	167612
ANKRD33B	164236
ANKRD34A	272031
ANKRD34B	189127
ANKRD34C	235711
ANKRD35	198483
ANKRD36	135976
ANKRD36B	196912
ANKRD36BP1	214262
ANKRD36BP2	230006
ANKRD37	186352
ANKRD39	213337
ANKRD40	154945
ANKRD42	137494
ANKRD44	65413
ANKRD45	183831
ANKRD46	186106
ANKRD49	168876
ANKRD50	151458
ANKRD52	139645
ANKRD53	144031
ANKRD54	100124
ANKRD55	164512
ANKRD6	135299
ANKRD63	230778
ANKRD7	106013
ANKRD9	156381
ANKS1A	64999
ANKS1B	185046
ANKS3	168096
ANKS4B	175311
ANKS6	165138
ANKUB1	206199
ANKZF1	163516
ANLN	11426
ANO1	131620
ANO10	160746
ANO2	47617
ANO3	134343
ANO5	171714
ANO6	177119
ANO7	146205
ANO8	74855
ANO9	185101
ANP32A	140350
ANP32B	136938
ANP32C	248546
ANP32D	139223
ANP32E	143401
ANPEP	166825
ANTXR1	169604
ANTXR2	163297
ANTXRL	274209
ANXA1	135046
ANXA10	109511
ANXA11	122359
ANXA13	104537
ANXA2	182718
ANXA2P1	213406
ANXA2P2	231991
ANXA2P3	216740
ANXA3	138772
ANXA4	196975
ANXA5	164111
ANXA6	197043
ANXA7	138279
ANXA8	265190
ANXA8L1	264230
ANXA9	143412
AOAH	136250
AOC2	131480
AOC3	131471
AOX1	138356
AOX2P	243478
AP1AR	138660
AP1B1	100280
AP1B1P1	234479
AP1G1	166747
AP1G2	213983
AP1M1	72958
AP1M2	129354
AP1S1	106367
AP1S2	182287
AP1S3	152056
AP2A1	196961
AP2B1	6125
AP2M1	161203
AP2S1	42753
AP3B1	132842
AP3B2	103723
AP3D1	65000
AP3M1	185009
AP3M2	70718
AP3S1	177879
AP3S2	157823
AP4B1	134262
AP4E1	81014
AP4M1	221838
AP4S1	100478
APAF1	120868
APBA3	11132
APBB1	166313
APBB1IP	77420
APBB2	163697
APBB3	113108
APC	134982
APC2	115266
APCDD1	154856
APCDD1L	198768
APCS	132703
APEH	164062
APEX1	100823
APEX2	169188
APH1A	117362
APH1B	138613
API5	166181
APIP	149089
APITD1	175279
APITD1-CORT	251503
APLF	169621
APLN	171388
APLNR	134817
APLP1	105290
APLP2	84234
APOA1	118137
APOA2	158874
APOA4	110244
APOA5	110243
APOB	84674
APOBEC1	111701
APOBEC2	124701
APOBEC3B	179750
APOBEC3C	244509
APOBEC3D	243811
APOBEC3F	128394
APOBEC3G	239713
APOBEC3H	100298
APOBEC4	173627
APOBR	184730
APOC1	130208
APOC1P1	214855
APOC2	234906
APOC2	224916
APOC3	110245
APOC4	267467
APOD	189058
APOE	130203
APOF	175336
APOH	91583
APOL1	100342
APOL2	128335
APOL3	128284
APOL4	100336
APOL6	221963
APOLD1	178878
APOO	184831
APOOL	155008
APP	142192
APPBP2	62725
APPL1	157500
APPL2	136044
APRT	198931
APTX	137074
AQP1	240583
AQP10	143595
AQP11	178301
AQP12A	184945
AQP12B	185176
AQP2	167580
AQP3	165272
AQP4	171885
AQP5	161798
AQP6	86159
AQP7	165269
AQP7P1	186466
AQP7P3	279688
AQP8	103375
AQP9	103569
AQR	21776
AR	169083
ARAF	78061
ARAP1	186635
ARAP2	47365
ARAP3	120318
ARC	198576
ARCN1	95139
AREG	109321
ARF1	143761
ARF3	134287
ARF4	168374
ARF5	4059
ARF6	165527
ARFGAP1	101199
ARFGAP2	149182
ARFGAP3	242247
ARFGEF1	66777
ARFGEF2	124198
ARFIP1	164144
ARFIP2	132254
ARFRP1	101246
ARG1	118520
ARG2	81181
ARGFX	186103
ARGFXP2	265293
ARGLU1	134884
ARHGAP1	175220
ARHGAP10	71205
ARHGAP12	165322
ARHGAP15	75884
ARHGAP17	140750
ARHGAP18	146376
ARHGAP19	213390
ARHGAP19-SLIT1	269891
ARHGAP20	137727
ARHGAP21	107863
ARHGAP22	128805
ARHGAP24	138639
ARHGAP25	163219
ARHGAP26	145819
ARHGAP28	88756
ARHGAP29	137962
ARHGAP30	186517
ARHGAP31	31081
ARHGAP32	134909
ARHGAP33	4777
ARHGAP35	160007
ARHGAP36	147256
ARHGAP39	147799
ARHGAP4	89820
ARHGAP40	124143
ARHGAP42	165895
ARHGAP44	6740
ARHGAP5	100852
ARHGAP6	47648
ARHGAP8	241484
ARHGAP9	123329
ARHGDIA	141522
ARHGDIB	111348
ARHGDIG	242173
ARHGEF1	76928
ARHGEF10L	74964
ARHGEF11	132694
ARHGEF12	196914
ARHGEF15	198844
ARHGEF16	130762
ARHGEF17	110237
ARHGEF18	104880
ARHGEF19	142632
ARHGEF2	116584
ARHGEF25	240771
ARHGEF3	163947
ARHGEF33	214694
ARHGEF35	213214
ARHGEF37	183111
ARHGEF38	236699
ARHGEF4	136002
ARHGEF40	165801
ARHGEF5	50327
ARHGEF6	129675
ARHGEF7	102606
ARHGEF9	131089
ARID1A	117713
ARID1B	49618
ARID2	189079
ARID3A	116017
ARID3B	179361
ARID3C	205143
ARID4A	32219
ARID4B	54267
ARID5A	196843
ARID5B	150347
ARIH1	166233
ARIH2	177479
ARL1	120805
ARL10	175414
ARL11	152213
ARL13A	174225
ARL13B	169379
ARL14	179674
ARL15	185305
ARL16	214087
ARL2	213465
ARL2BP	102931
ARL2-SNX15	273003
ARL3	138175
ARL4A	122644
ARL4C	188042
ARL4D	175906
ARL5A	162980
ARL5B	165997
ARL5C	141748
ARL6	113966
ARL6IP1	170540
ARL6IP4	182196
ARL6IP5	144746
ARL6IP6	177917
ARL8A	143862
ARL8B	134108
ARL9	196503
ARMC1	104442
ARMC2	118690
ARMC3	165309
ARMC4	169126
ARMC5	140691
ARMC6	105676
ARMC7	125449
ARMC8	114098
ARMC9	135931
ARMCX1	126947
ARMCX2	184867
ARMCX3	102401
ARMCX4	196440
ARMCX5	125962
ARMCX5-GPRASP2	158301
ARMCX5-GPRASP2	271147
ARMCX6	198960
ARMS2	254636
ARNT	143437
ARNT2	172379
ARNTL	133794
ARNTL2	29153
ARPC1A	241685
ARPC1B	130429
ARPC2	163466
ARPC3	111229
ARPC4	241553
ARPC4-TTLL3	250151
ARPC5	162704
ARPC5L	136950
ARPP19	128989
ARPP21	172995
ARR3	120500
ARRB1	137486
ARRB2	141480
ARRDC1	197070
ARRDC2	105643
ARRDC3	113369
ARRDC4	140450
ARRDC5	205784
ARSA	100299
ARSB	113273
ARSD	6756
ARSE	157399
ARSF	62096
ARSG	141337
ARSH	205667
ARSI	183876
ARSJ	180801
ARSK	164291
ART1	129744
ART3	156219
ART4	111339
ART5	167311
ARTN	117407
ARV1	173409
ARVCF	99889
ARX	4848
AS3MT	214435
ASAH1	104763
ASAH2	188611
ASAH2B	204147
ASAP1	153317
ASAP2	151693
ASB1	65802
ASB10	146926
ASB11	165192
ASB12	198881
ASB13	196372
ASB14	239388
ASB15	146809
ASB16	161664
ASB17	154007
ASB18	182177
ASB3	115239
ASB4	5981
ASB5	164122
ASB6	148331
ASB7	183475
ASB8	177981
ASB9	102048
ASB9P1	258527
ASCC1	138303
ASCC2	100325
ASCC3	112249
ASCL1	139352
ASCL2	183734
ASCL3	176009
ASCL4	187855
ASF1A	111875
ASF1B	105011
ASGR1	141505
ASGR2	161944
ASH1L	116539
ASH2L	129691
ASIP	101440
ASL	126522
ASMTL	169093
ASMTL-AS1	236017
ASNA1	198356
ASNS	70669
ASNSD1	138381
ASPA	108381
ASPDH	204653
ASPG	166183
ASPH	198363
ASPHD1	174939
ASPHD2	128203
ASPM	66279
ASPN	106819
ASPRV1	244617
ASPSCR1	169696
ASRGL1	162174
ASS1	130707
ASTE1	34533
ASTL	188886
ASTN1	152092
ASTN2	148219
ASXL1	171456
ASXL2	143970
ASXL3	141431
ASZ1	154438
ATAD2	156802
ATAD2B	119778
ATAD3A	197785
ATAD3B	160072
ATAD3C	215915
ATAD5	176208
ATCAY	167654
ATE1	107669
ATF1	123268
ATF2	115966
ATF3	162772
ATF4	128272
ATF5	169136
ATF6	118217
ATF7	170653
ATF7IP	171681
ATF7IP2	166669
ATG10	152348
ATG12	145782
ATG13	175224
ATG14	126775
ATG16L2	168010
ATG2A	110046
ATG2B	66739
ATG3	144848
ATG4A	101844
ATG4B	168397
ATG4C	125703
ATG4D	130734
ATG5	57663
ATG7	197548
ATG9A	198925
ATG9B	181652
ATIC	138363
ATL1	198513
ATL2	119787
ATL3	184743
ATM	149311
ATMIN	166454
ATN1	111676
ATOH1	172238
ATOH7	179774
ATOH8	168874
ATOX1	177556
ATP10A	206190
ATP10B	118322
ATP10D	145246
ATP11A	68650
ATP11B	58063
ATP11C	101974
ATP12A	75673
ATP13A1	105726
ATP13A2	159363
ATP13A3	133657
ATP13A4	127249
ATP13A5	187527
ATP1A1	163399
ATP1A2	18625
ATP1A3	105409
ATP1A4	132681
ATP1B1	143153
ATP1B2	129244
ATP1B3	69849
ATP1B4	101892
ATP2A1	196296
ATP2A2	174437
ATP2A3	74370
ATP2B1	70961
ATP2B2	157087
ATP2B3	67842
ATP2B4	58668
ATP2C1	17260
ATP2C2	64270
ATP4A	105675
ATP4B	186009
ATP5A1	152234
ATP5B	110955
ATP5C1	165629
ATP5D	99624
ATP5E	124172
ATP5EP2	180389
ATP5F1	116459
ATP5G1	159199
ATP5G2	135390
ATP5G3	154518
ATP5H	167863
ATP5I	169020
ATP5J	154723
ATP5J2	241468
ATP5J2-PTCD1	248919
ATP5L	167283
ATP5L2	249222
ATP5O	241837
ATP5S	125375
ATP5SL	105341
ATP6AP1	71553
ATP6AP1L	205464
ATP6AP2	182220
ATP6V0A1	33627
ATP6V0A2	185344
ATP6V0A4	105929
ATP6V0B	117410
ATP6V0C	185883
ATP6V0CP3	213435
ATP6V0D1	159720
ATP6V0D2	147614
ATP6V0E1	113732
ATP6V0E2	171130
ATP6V1A	114573
ATP6V1B1	116039
ATP6V1B2	147416
ATP6V1C1	155097
ATP6V1C2	143882
ATP6V1D	100554
ATP6V1E1	131100
ATP6V1E2	250565
ATP6V1F	128524
ATP6V1G1	136888
ATP6V1G2-DDX39B	254870
ATP6V1H	47249
ATP7A	165240
ATP7B	123191
ATP8A1	124406
ATP8A2	132932
ATP8B1	81923
ATP8B2	143515
ATP8B3	130270
ATP8B4	104043
ATP8B5P	179766
ATP9A	54793
ATPAF1	123472
ATPAF2	171953
ATPIF1	130770
ATR	175054
ATRN	88812
ATRNL1	107518
ATRX	85224
ATXN1	124788
ATXN10	130638
ATXN1L	224470
ATXN2	204842
ATXN2L	168488
ATXN3	66427
ATXN3L	123594
ATXN7	163635
ATXN7L1	146776
ATXN7L2	162650
ATXN7L3	87152
ATXN7L3B	253719
ATXN8OS	230223
AUH	148090
AUP1	115307
AURKA	87586
AURKAIP1	175756
AURKAPS1	213033
AURKB	178999
AURKC	105146
AUTS2	158321
AVEN	169857
AVIL	135407
AVL9	105778
AVP	101200
AVPI1	119986
AVPR1A	166148
AVPR1B	198049
AVPR2	126895
AWAT1	204195
AWAT2	147160
AXDND1	162779
AXIN1	103126
AXIN2	168646
AXL	167601
AZGP1	160862
AZGP1P1	214313
AZI2	163512
AZIN1	155096
